index,Close,Open,a,b,c,d,e,f,g,h,i
1717,2108.92,2119.29,0.49827814,0.47256115,0.45082447,0.58511114,0.59927607,0.38044456,0.44895607,0.47793368,0.53898984
1718,2114.76,2108.35,0.9569637,0.79298645,0.9055643,0.53312224,0.13525718,0.4622357,0.7830545,0.020904828,0.8902477
1719,2106.85,2112.49,0.9897245,0.878766,0.9732956,0.5068713,0.049995724,0.5032453,0.88564867,0.003264531,0.9504108
1720,2085.51,2105.52,0.99980944,0.97849506,0.9993542,0.38268492,0.00258383,0.66823435,0.9884496,2.65E-06,0.99723923
1721,2108.29,2087.38,0.8935131,0.65823805,0.802395,0.55382544,0.23775907,0.436933,0.69263077,0.08081573,0.7979153
1722,2114.49,2110.23,0.11315441,0.21805996,0.16764462,0.64890397,0.82905155,0.32682568,0.25173825,0.93293977,0.16298331
1723,2089.46,2112.63,0.99492306,0.89008605,0.98677593,0.48332244,0.025759865,0.541128,0.92535084,0.00081884,0.9685127
1724,2080.15,2091.26,0.99776137,0.93484855,0.9936127,0.45013356,0.015059488,0.58293384,0.95360583,0.000153783,0.9845051
1725,2088,2079.96,0.99213773,0.877052,0.98326117,0.49512833,0.03926695,0.5267922,0.9115226,0.001512763,0.95490026
1726,2116.1,2092.13,0.00037014,0.012963124,0.000644619,0.7310233,0.9969656,0.18188377,0.012381072,0.999984,0.006046156
1727,2105.33,2115.56,0.002058683,0.039696325,0.005048659,0.717899,0.9919214,0.2157914,0.03492506,0.9998079,0.013044865
1728,2099.12,2102.87,0.89459026,0.66264284,0.8361849,0.5586473,0.22080183,0.43974143,0.71203244,0.072648205,0.79449034
1729,2098.48,2099.62,0.020203628,0.10731646,0.03931303,0.66784185,0.9545074,0.27554098,0.11164406,0.9936086,0.066994205
1730,2121.1,2100.43,0.000980183,0.018790236,0.001681531,0.7166503,0.9940224,0.20455286,0.021504425,0.99994206,0.011047148
1731,2122.73,2122.07,0.005742346,0.053006973,0.015548085,0.7096399,0.9742687,0.24739768,0.06639145,0.9989556,0.021551412
1732,2129.2,2121.3,0.00937366,0.06325022,0.027168678,0.7084922,0.94597965,0.26635596,0.08935848,0.99720335,0.02828068
1733,2127.83,2129.45,0.03061509,0.10896875,0.04916546,0.66379875,0.9222278,0.30379063,0.14803216,0.98654985,0.084866114
1734,2125.85,2127.79,0.14340065,0.23701224,0.15394275,0.6289335,0.8113957,0.33508283,0.2599399,0.90301293,0.22710538
1735,2130.82,2125.55,0.096705966,0.19133952,0.11302389,0.6411317,0.83160275,0.32001972,0.21293636,0.9441373,0.15986189
1736,2126.06,2130.36,0.7807052,0.55265254,0.7676065,0.5821717,0.29597497,0.42580268,0.64405215,0.13915549,0.6373095
1737,2104.2,2125.34,0.9993917,0.9555141,0.9972671,0.43069306,0.005869035,0.60701513,0.97227335,4.85E-05,0.993572
1738,2123.48,2105.13,0.8893877,0.6514899,0.7802396,0.5450964,0.22551239,0.44244105,0.69107693,0.06830265,0.82007366
1739,2120.79,2122.27,0.94747293,0.7495365,0.91081226,0.54262626,0.1433852,0.4614739,0.7821628,0.026247803,0.8571072
1740,2107.39,2120.66,0.9976943,0.93211687,0.994839,0.4569309,0.015493965,0.5736698,0.9530792,0.000211993,0.98430103
1741,2111.73,2108.64,0.9676021,0.79466933,0.9360626,0.52628976,0.10532991,0.4713718,0.8119258,0.013998466,0.9026764
1742,2109.6,2110.41,0.9855623,0.86275816,0.9651065,0.5061217,0.06195514,0.5059628,0.87307495,0.003922335,0.9460557
1743,2114.07,2110.64,0.06973814,0.22383358,0.08660038,0.6431353,0.900954,0.30134922,0.17612252,0.96846765,0.15333709
1744,2095.84,2112.35,0.9964296,0.9240164,0.98960704,0.47478345,0.019712402,0.5608295,0.93953264,0.000368163,0.9763615
1745,2092.83,2095.09,0.9865876,0.86006516,0.9725486,0.50156355,0.052285813,0.51949555,0.89041615,0.002362656,0.9450692
1746,2079.28,2092.34,0.96768785,0.8017387,0.9451606,0.5228931,0.10104274,0.48813468,0.83525026,0.009213056,0.9061619
1747,2080.15,2079.07,0.92946845,0.7211189,0.8771049,0.54826564,0.15992628,0.45368096,0.75345576,0.036942743,0.83604336
1748,2105.2,2081.12,0.000144047,0.007917061,0.000236932,0.74303764,0.99815446,0.15925355,0.006979856,0.9999958,0.003459995
1749,2108.86,2106.24,0.000331331,0.011060846,0.001014657,0.7523192,0.9961629,0.1803966,0.01432923,0.99998426,0.003539078
1750,2094.11,2107.43,0.004583118,0.054427855,0.008589561,0.69396865,0.9825889,0.24110755,0.05148912,0.99919695,0.027727129
1751,2084.43,2091.34,0.11354484,0.22507086,0.115609825,0.6273965,0.8380037,0.32566226,0.22371526,0.92774284,0.21845894
1752,2096.29,2084.26,0.003542941,0.03967378,0.005781165,0.6996705,0.9848946,0.228382,0.042129118,0.9995834,0.020622669
1753,2100.44,2097.4,0.005107527,0.043429617,0.00734552,0.69547105,0.97717404,0.24021792,0.051896635,0.99928063,0.027010154
1754,2121.24,2101.58,0.002743726,0.02752135,0.00452769,0.7169613,0.9745583,0.2360779,0.041243978,0.9996437,0.018065888
1755,2109.99,2121.06,0.027668724,0.1158063,0.07274766,0.67123264,0.9122765,0.30004543,0.158924,0.98432493,0.07873136
1756,2122.85,2112.5,0.013218132,0.0726232,0.031053947,0.6937749,0.94208896,0.27831027,0.10049245,0.9958235,0.042987064
1757,2124.2,2123.16,0.026686212,0.10401907,0.0546952,0.68120766,0.92523324,0.29477528,0.14008965,0.9903384,0.05923448
1758,2108.58,2123.65,0.16459788,0.26257968,0.20209512,0.62559,0.7932926,0.33944142,0.27779257,0.87011284,0.23616305
1759,2102.31,2109.96,0.8481349,0.6351257,0.8085377,0.5608179,0.27617854,0.438092,0.6832829,0.07945635,0.74128866
1760,2101.49,2102.62,0.98958147,0.87112075,0.9720196,0.49501294,0.05069761,0.5174977,0.894296,0.00259508,0.95828384
1761,2057.64,2098.63,0.9999702,0.99289775,0.9998692,0.34598926,0.000610672,0.72845083,0.995862,1.12E-07,0.9991616
1762,2063.11,2061.19,0.99970466,0.97498465,0.9991436,0.42329234,0.003570543,0.6374857,0.9842726,9.87E-06,0.9946021
1763,2077.42,2067,0.989856,0.8385401,0.9715144,0.5136404,0.043781023,0.50645375,0.88767344,0.003808899,0.9409114
1764,2076.78,2078.03,0.7392456,0.5136675,0.5992676,0.591282,0.3873981,0.39918533,0.56324047,0.3076279,0.5823841
1765,2068.76,2073.95,0.67774993,0.52510685,0.5524072,0.58932304,0.42360845,0.38996583,0.5199574,0.35193965,0.5900777
1766,2081.34,2069.52,0.002901414,0.04630355,0.002397123,0.6848107,0.98986197,0.21030557,0.027874203,0.99979264,0.02970856
1767,2046.68,2077.66,0.44429502,0.4685789,0.3375391,0.5991795,0.59526,0.3675594,0.3952121,0.59736246,0.5002239
1768,2051.31,2049.73,0.74638295,0.5739022,0.63016987,0.5900038,0.36047146,0.40351635,0.57767683,0.24710786,0.63015145
1769,2076.62,2052.74,0.006214987,0.05039921,0.006852388,0.693537,0.9780473,0.24255592,0.05305244,0.9992028,0.029028626
1770,2099.6,2080.03,0.002157751,0.019788258,0.002631629,0.7300465,0.98604184,0.21266702,0.030864088,0.9998977,0.010421937
1771,2108.95,2099.72,0.003384761,0.028733043,0.006436358,0.7371373,0.97787243,0.22961107,0.046214703,0.9997465,0.010937776
1772,2107.4,2109.01,0.007992258,0.056899663,0.018129101,0.7135937,0.95582175,0.27482012,0.08649694,0.99802005,0.025194202
1773,2124.29,2110.55,0.005339061,0.040190477,0.011409091,0.7205572,0.9641494,0.2496006,0.058061562,0.99927396,0.019091845
1774,2126.64,2126.8,0.021235596,0.092708714,0.04688894,0.6986659,0.9203233,0.28073847,0.12227633,0.9938558,0.04215541
1775,2128.28,2126.85,0.11519265,0.24256697,0.18018696,0.6623733,0.7780437,0.33525938,0.26814228,0.9079992,0.1401032
1776,2119.21,2127.55,0.7941169,0.623301,0.7947657,0.5874015,0.27326027,0.42957243,0.66768855,0.10175329,0.6604126
