index,Close,Open,a,b,c,d,e,f,g,h
1235,1660.06,1652.63,0.28973615,0.6569213,0.3533126,0.5591436,0.39161107,0.61250395,0.5698063,0.23544985
1236,1648.36,1656.57,0.28143597,0.6515183,0.38974318,0.57508963,0.3929622,0.57709384,0.57984406,0.2303069
1237,1654.41,1649.14,0.31960735,0.6622891,0.3740578,0.5586085,0.39996237,0.59745777,0.5185187,0.26871544
1238,1630.74,1652.13,0.2771946,0.6399813,0.400582,0.5854051,0.39899325,0.5713539,0.58092976,0.222547
1239,1640.42,1631.71,0.30166212,0.65084475,0.41637897,0.576961,0.40541324,0.55204767,0.5283739,0.26013672
1240,1631.38,1640.73,0.3011058,0.6519559,0.38896465,0.56687784,0.399521,0.57999873,0.5446751,0.2496664
1241,1608.9,1629.05,0.279521,0.6345373,0.37338188,0.5879535,0.3967972,0.59652555,0.59879106,0.22522293
1242,1622.56,1609.29,0.31360304,0.6542421,0.35641822,0.55932575,0.4070549,0.61197996,0.5210325,0.26899233
1243,1643.38,1625.27,0.34872684,0.6721573,0.31816065,0.52348983,0.40694752,0.64606774,0.4513854,0.32993755
1244,1642.81,1644.67,0.36980343,0.6867371,0.33310685,0.5087703,0.4038811,0.6349692,0.42001557,0.35712543
1245,1626.13,1638.64,0.31814793,0.670605,0.33720353,0.5383753,0.40375578,0.6294225,0.5078196,0.28990766
1246,1612.52,1629.94,0.29830992,0.6544172,0.35725036,0.55285823,0.39678854,0.6048721,0.546806,0.26589733
1247,1636.36,1612.15,0.34680122,0.67953247,0.32800233,0.5210721,0.41806266,0.63962895,0.43579325,0.33340794
1248,1626.73,1635.52,0.35008287,0.68511313,0.3393558,0.52068913,0.40654254,0.6303973,0.4511972,0.3304041
1249,1639.04,1630.64,0.370473,0.6933716,0.31390172,0.50183845,0.41410157,0.66076815,0.40465352,0.365044
1250,1651.81,1639.77,0.41081733,0.71417326,0.29698437,0.46706328,0.4380049,0.69547623,0.3237429,0.4264866
1251,1628.93,1651.83,0.32057598,0.6775537,0.32980147,0.53479236,0.4019966,0.63802683,0.5015398,0.29432738
1252,1588.19,1624.62,0.22543515,0.66124445,0.39265516,0.5796709,0.39786643,0.57641417,0.65905076,0.17569637
1253,1592.43,1588.62,0.2666513,0.68398786,0.3858418,0.5546613,0.40660816,0.5854355,0.5669377,0.23508608
1254,1573.09,1588.77,0.27283484,0.6584203,0.37276548,0.5716143,0.4004051,0.59630966,0.59157515,0.22346179
1255,1588.03,1577.52,0.3162636,0.6712007,0.33942315,0.55416584,0.40530834,0.6297481,0.5255825,0.2743548
1256,1603.26,1592.27,0.3431873,0.705552,0.33517084,0.5148582,0.41592515,0.637722,0.44138628,0.32269636
1257,1613.2,1606.44,0.38210446,0.72476035,0.33002675,0.48748899,0.42890894,0.65396607,0.368113,0.3670211
1258,1606.28,1611.12,0.39328983,0.72770464,0.34562403,0.48422292,0.43478054,0.65138996,0.33553937,0.38177124
1259,1614.96,1609.78,0.40213895,0.71349573,0.36759612,0.48929235,0.42924324,0.6209038,0.33583325,0.39326987
1260,1614.08,1614.29,0.39061484,0.7153493,0.3537363,0.49460912,0.43718565,0.6378556,0.34925756,0.38054392
1261,1615.41,1611.48,0.36765897,0.69869137,0.33783785,0.52457404,0.4190723,0.6415926,0.4381447,0.32421657
1262,1631.89,1618.65,0.3458035,0.7104149,0.2932084,0.51272595,0.42253953,0.68823785,0.45120808,0.3170015
1263,1640.46,1634.2,0.35232893,0.7175735,0.27283463,0.49553052,0.44562545,0.7164829,0.40418074,0.36593816
1264,1652.32,1643.93,0.35612088,0.75122416,0.27754748,0.46970698,0.46980968,0.72780466,0.37983376,0.36402062
1265,1652.62,1651.56,0.360735,0.7514161,0.29775494,0.4774378,0.47763273,0.710096,0.3623889,0.3795541
1266,1675.02,1657.41,0.34799933,0.75902843,0.28723148,0.47257656,0.4940657,0.7254651,0.37117428,0.35811928
1267,1680.19,1675.26,0.3487778,0.7241995,0.3409737,0.5064472,0.4461886,0.65762025,0.41771773,0.3353662
1268,1682.5,1679.59,0.33264434,0.7113814,0.3610207,0.5248126,0.41920495,0.62520576,0.47167563,0.29903775
1269,1676.26,1682.7,0.2866112,0.6842049,0.37204787,0.56075984,0.3846386,0.5916668,0.5733165,0.23078799
1270,1680.91,1677.91,0.28339598,0.68920964,0.36722305,0.55848855,0.38367176,0.5982931,0.5840731,0.22040845
1271,1689.37,1681.05,0.2876925,0.6807636,0.37476802,0.55788857,0.38832164,0.59109485,0.56272125,0.23495334
1272,1692.09,1686.15,0.2785532,0.68565214,0.37409943,0.5599249,0.38240796,0.58974034,0.58758926,0.21701889
